identifier,id,formula,task,metal,ΔE [eV],V [Å³],p [µV/K],n [µV/K],v [µV/K],T [K],c [1/µm³],v [µV/K],T [K],c [1/µm³],p [1/fΩ/m/s],n [1/fΩ/m/s],p [GW/K²/m/s],n [GW/K²/m/s],v [1/fΩ/m/s],T [K],c [1/µm³],v [1/fΩ/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],p [GW/K/m/s],n [GW/K/m/s],v [GW/K/m/s],T [K],c [1/µm³],v [GW/K/m/s],T [K],c [1/µm³],functional,ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ],ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ]
mp-623511,5f8a3d9183a19cc44d02243e,Sn,mp-942243,Yes,0.0,28.2906,-1.29151,-1.29267,-0.0826882,100.0,100000000.0,-5.50278,1300.0,100000000.0,2276300.0,2276340.0,4.28861,4.29802,2285270.0,1300.0,10000.0,2287300.0,1300.0,100000000.0,70.1532,1300.0,10000.0,70.1533,1300.0,10000.0,16755800.0,16756000.0,5544040.0,100.0,100000000.0,5572520.0,100.0,10000.0,GGA,,,,,,,,
mp-1992,5f8a3d9283a19cc44d022447,Pu5Ru3,mp-942015,Yes,0.0,332.023,2.81969,2.82049,17.6172,1300.0,100000000.0,-4.97892,100.0,100000000.0,16269.7,16269.7,0.223802,0.223805,16446.4,100.0,10000.0,16459.7,100.0,100000000.0,5.30686,1300.0,100000000.0,5.30471,1300.0,100000000.0,113315.0,113313.0,40212.8,100.0,100000000.0,40227.2,100.0,10000.0,GGA,,,,,,,,
mp-27502,5f8a3d9283a19cc44d022450,CNCl,mp-670711,No,5.8354,144.673,770.127,-480.064,1329.54,1300.0,10000.0,-1154.69,1300.0,10000.0,4.76503,32.0025,2.78919,7.41253,620.242,100.0,100000000.0,3115.85,200.0,100000000.0,85.4726,700.0,100000000.0,674.017,700.0,100000000.0,31.1449,180.463,0.115823,100.0,10000.0,0.612327,100.0,10000.0,GGA,9.94865,3.4816,5.83596,20.5284,0.990398,0.581862,1.08479,1.30454
mp-770629,5f8a3d9383a19cc44d022459,Li2AlFeO4,mp-811645,No,3.0927,350.609,747.876,-558.917,1282.63,1100.0,10000.0,-1187.73,1100.0,10000.0,3.05904,12.4541,1.71359,3.97474,553.619,100.0,100000000.0,1322.01,100.0,100000000.0,37.3917,300.0,100000000.0,158.264,400.0,100000000.0,12.2457,65.8128,0.117092,500.0,10000.0,0.252957,100.0,10000.0,GGA+U,10.0164,7.15781,8.63392,14.2576,3.74659,1.07791,4.53983,5.62202
mp-27202,5f8a3d9483a19cc44d022462,B9H8S,mp-860107,No,4.15691,841.505,752.46,-777.549,1278.37,1000.0,10000.0,-1229.5,1300.0,10000.0,1.23264,1.47905,0.703159,0.894912,257.58,100.0,100000000.0,470.361,100.0,100000000.0,20.9779,100.0,100000000.0,58.3504,200.0,100000000.0,2.4131,3.43776,0.0118231,300.0,10000.0,0.0330076,600.0,10000.0,GGA,25.7424,17.8221,20.1416,39.2636,19.8245,15.837,18.1605,25.4761
mp-559608,5f8a3d9583a19cc44d02246b,K3NdSi7O17,mp-735337,No,4.71649,1688.99,776.654,-415.395,1297.85,1300.0,10000.0,-963.939,1300.0,10000.0,0.368087,57.221,0.218903,9.88236,96.144,100.0,100000000.0,6287.52,100.0,100000000.0,8.30877,100.0,100000000.0,1063.6,900.0,100000000.0,0.881848,287.617,0.00697434,200.0,10000.0,0.805625,100.0,10000.0,GGA,91.3712,61.3892,61.3893,151.335,0.492688,0.485241,0.485241,0.507582
mp-753943,5f8a3d9683a19cc44d022474,Li2FeS2,mp-899393,Yes,0.0,81.2844,-58.6814,-58.7226,5.49534,1300.0,100000000.0,-65.7226,200.0,100000000.0,12021.4,12026.7,50.6393,50.7167,23479.3,1300.0,100000000.0,23453.8,1300.0,10000.0,52.305,200.0,10000.0,52.7231,200.0,100000000.0,123032.0,123012.0,27891.1,100.0,100000000.0,28602.9,100.0,10000.0,GGA,0.00234904,0.00227161,0.00227161,0.00250389,0.00234796,0.00227093,0.00227094,0.00250201
mp-755789,5f8a3d9783a19cc44d02247d,Na2Be2O3,mp-843968,No,3.0643,196.604,728.991,-414.952,1402.17,1000.0,10000.0,-999.138,1300.0,10000.0,12.3284,51.399,7.47673,8.85296,1311.45,100.0,100000000.0,5097.04,200.0,100000000.0,198.649,700.0,100000000.0,1993.29,900.0,100000000.0,41.1541,288.671,0.179975,100.0,10000.0,0.948803,100.0,10000.0,GGA,2186.12,0.765132,186.112,6371.48,0.556754,0.48139,0.538433,0.65044
mp-19171,5f8a3d9883a19cc44d022486,Y(FeO2)2,mp-922737,Yes,0.0,90.483,16.3612,16.3281,18.2051,400.0,100000000.0,-26.4143,1300.0,100000000.0,86129.1,86135.0,0.50334,0.504629,86132.0,300.0,10000.0,86455.8,300.0,100000000.0,11.3246,1300.0,100000000.0,11.3703,1300.0,100000000.0,628127.0,628097.0,222616.0,100.0,100000000.0,228616.0,100.0,100000000.0,GGA+U,,,,,,,,
mp-769834,5f8a3d9883a19cc44d02248f,Eu2Mn2O7,mp-899530,Yes,0.0,262.284,-22.9459,-22.9342,-1.23335,1300.0,10000.0,-22.94,300.0,10000.0,22167.0,22170.4,11.6712,11.6611,22498.3,200.0,10000.0,22731.2,200.0,100000000.0,12.1557,300.0,100000000.0,12.3421,300.0,100000000.0,144074.0,144074.0,56515.5,100.0,100000000.0,57061.8,100.0,10000.0,GGA+U,0.00127123,0.00127123,0.00127123,0.00127123,0.00127104,0.00127104,0.00127104,0.00127104
